-2.752,-2.368,-2.752,1.171,-1.217,-2.965,-1.786,1.445,-2.965,0.246
0.246,-0.426,-0.943,-1.133,1.939,0.49,0.723,-1.485,-2.417,-1.485
-1.217,-1.983,1.003,-2.417,1.423,-1.786,0.49,-0.2,1.637,-2.752
-0.73,-0.73,-1.983,-2.242,-1.786,-1.041,1.423,2.261,-2.752,-1.217
-0.609,1.282,-1.786,-2.841,2.417,2.147,0.208,-2.752,0.396,0.49
-2.965,0.246,0.685,-1.485,-0.2,-0.609,-1.843,2.627,1.003,1.171
-0.2,1.803,0.246,2.417,-1.843,1.803,-0.2,-0.035,2.932,2.69
-1.041,-1.656,-0.609,-1.041,-2.841,0.685,0.246,2.69,2.627,-2.368
2.349,-1.041,1.282,-1.656,-0.609,1.76,2.417,1.282,-1.983,-0.2
1.003,-1.338,2.147,2.932,-1.485,-0.035,1.171,-1.217,-0.2,1.445
2.261,1.423,0.49,-2.553,-1.656,1.171,-1.041,0.723,0.111,2.808
2.147,-1.485,2.808,-0.2,-1.041,0.912,-0.532,-0.943,1.803,-1.983
0.111,-2.417,-2.368,2.69,-0.943,2.808,-1.217,0.685,-0.943,2.261
-2.242,1.637,0.111,1.76,-2.965,-1.983,1.003,2.932,0.208,-1.338
-1.983,-2.841,-2.841,-2.965,1.445,-1.485,-0.35,0.396,-0.35,2.932
-0.943,-2.242,0.208,-2.368,2.147,-0.532,-0.943,1.637,1.423,-1.041
-1.338,0.208,1.939,0.208,0.396,-0.943,-1.656,1.171,-2.368,-0.035
1.171,-2.752,2.261,0.396,-2.553,-2.553,-0.73,-2.553,1.282,-2.417
0.49,-0.609,2.932,0.111,-2.242,-1.843,-1.133,-1.786,-0.532,0.685
-1.656,2.417,-2.126,1.423,1.003,2.932,-0.035,2.417,-1.338,0.208
-2.553,1.445,-0.532,2.147,-0.532,1.637,1.76,1.003,2.147,-2.965
-2.368,1.171,-1.133,0.49,-1.133,1.282,1.282,2.808,-0.035,2.627
-0.035,1.76,1.423,0.723,2.261,-2.242,2.261,-0.532,-2.126,-0.609
0.912,-1.133,1.637,-2.126,2.69,0.208,1.637,-0.426,-1.041,1.423
-0.35,0.685,-0.2,-2.752,0.912,2.69,0.111,-1.843,0.723,-0.35
2.808,0.49,1.171,-0.609,2.627,-2.368,1.939,0.49,0.49,0.396
-0.532,-1.843,-1.843,2.627,0.246,2.627,2.69,-1.983,2.808,2.349
-1.786,-2.126,1.445,0.246,-1.338,2.261,-1.338,-1.338,0.685,1.282
2.69,-0.532,-1.485,-0.035,-2.368,-1.133,1.445,2.349,-2.841,1.637
-0.426,0.396,-1.656,1.939,-1.983,-2.752,-0.426,-0.609,-1.485,-1.786
1.445,-0.943,2.417,-1.843,2.808,1.939,1.803,0.912,-0.609,1.003
1.423,-1.786,-0.73,-0.73,-2.752,0.246,0.396,-2.841,1.939,-1.843
2.932,-2.553,0.912,2.808,0.685,-0.73,2.808,0.208,-0.73,0.723
-1.843,2.808,1.76,-1.983,-0.73,0.723,2.932,-2.965,0.246,0.111
0.685,2.69,0.723,1.637,-0.035,-2.417,0.685,-2.242,1.171,2.147
1.939,-0.2,-0.426,1.282,-0.426,-1.656,-0.609,-1.133,-2.242,-0.426
-2.126,-2.965,-2.965,2.261,1.171,2.417,-2.242,0.246,-1.843,-2.126
2.417,-0.35,1.803,-0.426,1.803,-0.35,2.349,-1.041,-1.133,-0.943
-2.417,0.912,-2.417,-0.532,2.932,-2.841,-2.553,1.939,1.445,1.803
2.627,2.147,-2.242,2.349,-2.417,2.349,2.147,-1.656,2.69,-1.133
1.803,0.723,2.627,-1.338,0.111,-1.338,-2.417,1.803,-1.786,0.912
0.208,2.932,2.349,0.912,-0.35,-2.126,-2.126,-2.126,-1.217,1.939
-2.841,2.627,-2.553,-0.943,2.349,0.111,-1.485,-0.35,-0.426,-2.242
1.282,-1.217,-1.338,1.003,1.282,1.003,-2.965,1.423,2.417,1.76
1.76,2.261,-0.35,1.803,1.637,1.445,-2.841,-2.417,2.349,-0.532
0.396,-0.035,-1.041,-0.35,0.723,0.396,0.912,-2.368,1.76,-2.553
-1.133,1.003,-1.217,0.685,1.76,-0.426,-2.368,2.147,0.912,-1.656
1.637,0.111,2.69,-1.217,-2.126,-1.217,2.627,0.111,2.261,-0.73
-1.485,1.939,0.396,-1.786,0.208,-0.2,-2.752,-0.73,-2.553,2.417
0.723,2.349,-0.035,1.445,0.49,1.423,-1.983,1.76,-1.656,-2.841
2.637,-0.272,-0.757,0.609,-0.967,-0.309,-0.868,-1.58,-1.473,-1.085
2.893,-0.508,-1.406,0.006,-0.428,-0.566,-0.196,-1.577,-1.39,-1.773
2.296,-0.191,1.235,1.639,1.02,-1.847,-1.137,-1.033,-0.701,1.126
2.339,-0.342,1.31,2.647,1.422,-0.378,-1.998,-0.829,-1.803,0.088
0.719,-0.285,-0.609,-0.208,-0.121,-0.367,0.468,-0.265,-1.642,-1.035
0.831,-0.449,-0.773,0.267,-1.123,-1.148,-2.064,0.333,-1.423,0.282
1.499,-0.298,-0.998,-1.107,-0.284,-2.164,-0.853,-1.476,-0.189,-2.338
1.683,-0.065,-0.659,-2.034,-0.489,-2.004,-1.39,0.834,-0.875,-2.078
0.969,-0.326,-0.943,-0.192,-0.375,-0.973,-0.286,0.786,-1.831,-2.204
1.047,-0.185,-0.222,0.871,-1.341,-1.466,1.269,0.886,-1.82,-2.431
0.78,-0.405,-1.624,-1.194,0.239,-0.77,0.011,-1.68,0.07,-0.357
0.215,-0.45,-2.48,-2.055,-0.882,-1.51,0.068,-0.747,0.277,0.686
1.051,-0.251,-0.42,-0.67,0.205,-1.085,-0.163,-0.201,-1.365,-1.136
1.245,-0.262,-0.394,-0.467,0.374,-0.931,0.557,-0.801,-1.032,-1.777
0.376,-0.253,0.18,-1.19,-0.516,0.29,0.53,-0.702,-1.974,-0.277
1.328,-0.381,0.302,-1.097,-0.093,0.553,-0.001,-1.187,-0.944,-0.329
0.486,-0.343,-0.161,-0.252,-0.341,0.213,-0.266,-0.522,-1.036,-1.14
0.284,-0.318,-0.97,-0.375,-0.778,-0.004,-0.064,-0.332,-1.268,-1.073
0.262,-0.411,-0.822,0.205,0.512,-0.06,-1.156,-1.389,-1.121,-0.87
0.161,-0.318,0.335,0.334,0.127,0.576,-1.188,-1.001,-2.005,-0.625
0.583,-0.271,-0.847,0.406,0.021,0.52,0.194,-1.034,-1.124,-1.225
0.435,-0.226,-0.895,0.494,0.254,0.853,0.229,-1.07,-0.999,-1.751
0.605,-0.246,0.244,-1.172,-0.361,0.191,-0.387,0.093,-1.554,-1.819
0.926,-0.206,0.382,-1.133,-0.839,-0.127,-0.819,-1.272,-1.095,-1.767
0.199,-0.297,0.165,-0.019,-0.363,-0.14,-0.325,-0.399,-0.701,-0.872
0.113,-0.309,0.027,0.048,-0.247,-0.038,-0.286,-0.334,-1.145,-0.934
0.774,-0.352,-0.593,0.008,-0.075,0.34,-0.754,-0.98,-0.567,-0.766
0.656,-0.334,-0.472,-0.09,0.033,-0.002,-0.533,-0.525,-0.547,-1.03
0.919,-0.232,-0.637,-0.108,-0.239,-0.2,-0.477,-0.493,-0.781,-1.043
0.963,-0.188,-0.517,0.166,-0.156,0.025,-0.864,-0.189,-0.84,-0.793
0.45,-0.418,-0.859,0.238,-0.313,0.373,-0.53,-0.085,-0.414,-0.908
0.625,-0.383,-0.917,0.289,-0.107,0.268,-0.978,-0.096,-0.161,-1.255
0.956,-0.219,-0.739,-0.236,0.403,-0.122,-0.654,-0.597,-0.582,-0.902
0.923,-0.222,-0.411,-0.118,0.237,0.158,-0.4,-0.362,-0.843,-0.687
0.82,-0.31,-0.458,-0.26,0.126,-0.039,-0.299,-0.577,-0.309,-0.869
0.735,-0.303,-0.405,-0.317,-0.076,-0.243,-0.643,-0.7,-0.337,-0.814
0.882,-0.321,-0.389,-0.345,0.057,-0.361,-0.609,-0.517,-0.176,-0.907
0.825,-0.284,-0.249,-0.427,0.1,-0.39,-0.693,-0.553,-0.258,-0.886
0.838,-0.34,-0.315,-0.122,0.098,-0.049,-0.458,-0.512,-0.282,-0.571
0.732,-0.344,-0.174,-0.194,0.14,-0.319,-0.401,-0.458,-0.16,-0.896
0.731,-0.273,-0.339,-0.164,0.09,-0.285,-0.603,-0.546,-0.298,-0.984
0.74,-0.288,-0.557,-0.149,0.057,-0.267,-0.567,-0.572,-0.486,-0.853
0.694,-0.277,-0.185,-0.04,0.335,-0.22,-0.522,-0.307,-0.402,-0.818
0.803,-0.296,-0.496,-0.26,0.241,-0.052,-0.537,-0.31,-0.504,-0.776
0.775,-0.317,-0.366,-0.041,0.059,-0.17,-0.436,-0.405,-0.173,-1.144
0.91,-0.269,-0.169,-0.286,0.009,-0.268,-0.429,-0.422,-0.134,-1.074
0.835,-0.3,-0.367,-0.052,0.309,-0.406,-0.455,-0.67,-0.311,-0.918
0.728,-0.314,-0.292,0.053,0.321,-0.236,-0.474,-0.745,-0.542,-0.855
0.782,-0.29,-0.43,-0.16,0.128,-0.288,-0.616,-0.485,-0.28,-0.964
0.756,-0.306,-0.394,-0.117,0.104,-0.215,-0.63,-0.477,-0.35,-0.969
0.769,-0.293,-0.451,-0.068,0.235,-0.367,-0.564,-0.392,-0.171,-0.904
0.707,-0.31,-0.495,-0.088,0.147,-0.236,-0.525,-0.482,-0.16,-0.992
0.697,-0.294,-0.381,-0.094,0.306,-0.333,-0.487,-0.394,-0.123,-0.891
0.677,-0.304,-0.475,-0.146,0.311,-0.276,-0.595,-0.299,-0.095,-0.823
0.6,-0.309,-0.523,-0.023,0.356,-0.34,-0.521,-0.34,-0.029,-0.706
0.677,-0.287,-0.52,-0.053,0.304,-0.329,-0.537,-0.393,-0.051,-0.702
0.622,-0.304,-0.691,-0.111,0.197,-0.198,-0.604,-0.281,-0.153,-0.597
0.607,-0.292,-0.63,0.019,0.462,-0.466,-0.642,-0.215,-0.13,-0.572
0.544,-0.324,-0.435,-0.146,0.495,-0.116,-0.763,-0.543,0.215,-0.657
0.454,-0.294,-0.506,-0.079,0.529,-0.197,-0.754,-0.287,0.088,-0.896
0.673,-0.28,-0.691,-0.135,0.514,-0.376,-0.652,-0.183,-0.033,-0.556
0.785,-0.268,-0.367,-0.156,0.443,-0.436,-0.662,-0.213,-0.17,-0.531
0.636,-0.287,-0.623,0.09,0.466,-0.316,-0.403,-0.314,-0.082,-0.72
0.645,-0.302,-0.595,0.068,0.478,-0.237,-0.504,-0.267,-0.028,-0.756
0.619,-0.309,-0.479,-0.104,0.434,-0.398,-0.527,-0.381,0.037,-0.784
0.547,-0.308,-0.463,-0.073,0.397,-0.429,-0.503,-0.303,0.047,-0.761
0.604,-0.308,-0.501,0.086,0.404,-0.393,-0.594,-0.247,-0.051,-0.585
0.607,-0.301,-0.412,0.081,0.266,-0.269,-0.501,-0.27,-0.013,-0.676
0.578,-0.329,-0.551,0.007,0.386,-0.385,-0.536,-0.314,-0.06,-0.715
